ID,Patrocinador,Corte,Especialidad,Area_terapeutica,condicion,Molecula,Mecanismo_accion,Fase,Fase_Stage,,,,,
C1,MSD,Q2 2022,Cardiología,Metabólicas,Hypercholesterolemia,MK-0616,"synthetic cyclic peptide that inhibits PCSK9. 
 Fuente: https://biopharma.media/merck-co-has-come-up-with-very-powerful-pill-against-bad-cholesterol-2450/#ftoc-mk-0616-mechanism-of-action",Phasetwo,PhasetwoCompleted,A Study of the Efficacy and Safety of MK-0616 (Oral PCSK9 Inhibitor) in Adults With Hypercholesterolemia (MK-0616-008),NCT05261126,Completed,"Ages Eligible for Study: 18 Years to 80 Years 
 -History of clinical atherosclerotic cardiovascular disease (ASCVD), or has an ASCVD risk equivalent and/or a 10-year risk of having an ASCVD event ?5.0%, AND has a corresponding LDL-C that falls within the protocol-specified range at screening.
 -Treatment with a stable dose of one or more lipid-lowering therapies for ?30 days before screening, or has not received treatment with any lipid-lowering therapy for ?30 days before screening.
 -A female participant is not pregnant or breastfeeding, not a woman of child-bearing potential (WOCBP) or is a WOCBP and agrees to follow contraceptive guidance during the intervention period and for at least 8 weeks after the last dose of study intervention.","-History of homozygous familial hypercholesterolemia (FH) based on genetic or clinical criteria.
 -History of nephrotic syndrome.
 -History of unstable angina, a myocardial infarction, percutaneous transluminal coronary angioplasty, transient ischemic attack, or stroke within 3 months before Screening.
 -Has poorly controlled diabetes mellitus, defined as hemoglobin A1C (A1C) ?9.0% at Screening.
 -History of malignancy ?3 years before screening, except for adequately treated basal cell or squamous cell skin cancer or in situ cervical cancer, which have no timeframe limitations relative to screening.
 -Currently participating in or has previously participated in an interventional clinical study within 3 months before Screening.
 -Has moderate or greater renal insufficiency."
C1,MSD,Q2 2022,Medicina interna,Metabólicas,Hypercholesterolemia,MK-0616,"synthetic cyclic peptide that inhibits PCSK9. 
 Fuente: https://biopharma.media/merck-co-has-come-up-with-very-powerful-pill-against-bad-cholesterol-2450/#ftoc-mk-0616-mechanism-of-action",Phasetwo,PhasetwoCompleted,A Study of the Efficacy and Safety of MK-0616 (Oral PCSK9 Inhibitor) in Adults With Hypercholesterolemia (MK-0616-008),NCT05261126,Completed,"Ages Eligible for Study: 18 Years to 80 Years 
 -History of clinical atherosclerotic cardiovascular disease (ASCVD), or has an ASCVD risk equivalent and/or a 10-year risk of having an ASCVD event ?5.0%, AND has a corresponding LDL-C that falls within the protocol-specified range at screening.
 -Treatment with a stable dose of one or more lipid-lowering therapies for ?30 days before screening, or has not received treatment with any lipid-lowering therapy for ?30 days before screening.
 -A female participant is not pregnant or breastfeeding, not a woman of child-bearing potential (WOCBP) or is a WOCBP and agrees to follow contraceptive guidance during the intervention period and for at least 8 weeks after the last dose of study intervention.","-History of homozygous familial hypercholesterolemia (FH) based on genetic or clinical criteria.
 -History of nephrotic syndrome.
 -History of unstable angina, a myocardial infarction, percutaneous transluminal coronary angioplasty, transient ischemic attack, or stroke within 3 months before Screening.
 -Has poorly controlled diabetes mellitus, defined as hemoglobin A1C (A1C) ?9.0% at Screening.
 -History of malignancy ?3 years before screening, except for adequately treated basal cell or squamous cell skin cancer or in situ cervical cancer, which have no timeframe limitations relative to screening.
 -Currently participating in or has previously participated in an interventional clinical study within 3 months before Screening.
 -Has moderate or greater renal insufficiency."
C10,Sanofi,Q32022,Dermatología,Cutaneas,Chronic spontaneous urticaria,rilzabrutinib,BTK inhibitor,Phasetwo,Phasetwo,,,,,
C100,Pfizer,"November 1, 2022",Inmunología,Vacunas,COVID-19 Infection Booster (in collaboration with BioNTech) (U.S.; EU – 12 years of age and older),BNT162b2 bivalent (BA.4/BA.5),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C100,Pfizer,"November 1, 2022",Pediatría,Vacunas,COVID-19 Infection Booster (in collaboration with BioNTech) (U.S.; EU – 12 years of age and older),BNT162b2 bivalent (BA.4/BA.5),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C100,Pfizer,"November 1, 2022",Medicina interna,Vacunas,COVID-19 Infection Booster (in collaboration with BioNTech) (U.S.; EU – 12 years of age and older),BNT162b2 bivalent (BA.4/BA.5),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C100,Pfizer,"November 1, 2022",Inmunología,Infecciosas,COVID-19 Infection Booster (in collaboration with BioNTech) (U.S.; EU – 12 years of age and older),BNT162b2 bivalent (BA.4/BA.5),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C100,Pfizer,"November 1, 2022",Pediatría,Infecciosas,COVID-19 Infection Booster (in collaboration with BioNTech) (U.S.; EU – 12 years of age and older),BNT162b2 bivalent (BA.4/BA.5),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C100,Pfizer,"November 1, 2022",Medicina interna,Infecciosas,COVID-19 Infection Booster (in collaboration with BioNTech) (U.S.; EU – 12 years of age and older),BNT162b2 bivalent (BA.4/BA.5),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C101,Pfizer,"November 1, 2022",Inmunología,Vacunas,COVID-19 Infection Booster (in collaboration with BioNTech) (EU – 12 years of age and older),BNT162b2 bivalent (BA.1),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
